byte_index,file_offset_hex,vma_hex,value_unsigned,value_hex
0,0x0005a100,0x67dca100,2,0x02
1,0x0005a101,0x67dca101,1,0x01
2,0x0005a102,0x67dca102,2,0x02
3,0x0005a103,0x67dca103,1,0x01
4,0x0005a104,0x67dca104,2,0x02
5,0x0005a105,0x67dca105,1,0x01
6,0x0005a106,0x67dca106,2,0x02
7,0x0005a107,0x67dca107,1,0x01
8,0x0005a108,0x67dca108,2,0x02
9,0x0005a109,0x67dca109,1,0x01
10,0x0005a10a,0x67dca10a,1,0x01
11,0x0005a10b,0x67dca10b,1,0x01
12,0x0005a10c,0x67dca10c,0,0x00
13,0x0005a10d,0x67dca10d,0,0x00
14,0x0005a10e,0x67dca10e,0,0x00
15,0x0005a10f,0x67dca10f,0,0x00
16,0x0005a110,0x67dca110,128,0x80
17,0x0005a111,0x67dca111,129,0x81
18,0x0005a112,0x67dca112,130,0x82
19,0x0005a113,0x67dca113,131,0x83
20,0x0005a114,0x67dca114,132,0x84
21,0x0005a115,0x67dca115,133,0x85
22,0x0005a116,0x67dca116,134,0x86
23,0x0005a117,0x67dca117,135,0x87
24,0x0005a118,0x67dca118,136,0x88
25,0x0005a119,0x67dca119,137,0x89
26,0x0005a11a,0x67dca11a,138,0x8a
27,0x0005a11b,0x67dca11b,139,0x8b
28,0x0005a11c,0x67dca11c,140,0x8c
29,0x0005a11d,0x67dca11d,141,0x8d
30,0x0005a11e,0x67dca11e,142,0x8e
31,0x0005a11f,0x67dca11f,143,0x8f
32,0x0005a120,0x67dca120,144,0x90
33,0x0005a121,0x67dca121,145,0x91
34,0x0005a122,0x67dca122,146,0x92
35,0x0005a123,0x67dca123,147,0x93
36,0x0005a124,0x67dca124,148,0x94
37,0x0005a125,0x67dca125,149,0x95
38,0x0005a126,0x67dca126,150,0x96
39,0x0005a127,0x67dca127,151,0x97
40,0x0005a128,0x67dca128,152,0x98
41,0x0005a129,0x67dca129,153,0x99
42,0x0005a12a,0x67dca12a,154,0x9a
43,0x0005a12b,0x67dca12b,155,0x9b
44,0x0005a12c,0x67dca12c,156,0x9c
45,0x0005a12d,0x67dca12d,157,0x9d
46,0x0005a12e,0x67dca12e,158,0x9e
47,0x0005a12f,0x67dca12f,159,0x9f
48,0x0005a130,0x67dca130,160,0xa0
49,0x0005a131,0x67dca131,161,0xa1
50,0x0005a132,0x67dca132,162,0xa2
51,0x0005a133,0x67dca133,163,0xa3
52,0x0005a134,0x67dca134,164,0xa4
53,0x0005a135,0x67dca135,165,0xa5
54,0x0005a136,0x67dca136,166,0xa6
55,0x0005a137,0x67dca137,167,0xa7
56,0x0005a138,0x67dca138,168,0xa8
57,0x0005a139,0x67dca139,169,0xa9
58,0x0005a13a,0x67dca13a,170,0xaa
59,0x0005a13b,0x67dca13b,171,0xab
60,0x0005a13c,0x67dca13c,172,0xac
61,0x0005a13d,0x67dca13d,173,0xad
62,0x0005a13e,0x67dca13e,174,0xae
63,0x0005a13f,0x67dca13f,175,0xaf
64,0x0005a140,0x67dca140,176,0xb0
65,0x0005a141,0x67dca141,177,0xb1
