byte_index,file_offset_hex,vma_hex,value_signed,value_hex
0,0x0005d200,0x67dcd200,3,0x03
1,0x0005d201,0x67dcd201,0,0x00
2,0x0005d202,0x67dcd202,0,0x00
3,0x0005d203,0x67dcd203,24,0x18
4,0x0005d204,0x67dcd204,2,0x02
5,0x0005d205,0x67dcd205,0,0x00
6,0x0005d206,0x67dcd206,0,0x00
7,0x0005d207,0x67dcd207,24,0x18
8,0x0005d208,0x67dcd208,1,0x01
9,0x0005d209,0x67dcd209,0,0x00
10,0x0005d20a,0x67dcd20a,0,0x00
11,0x0005d20b,0x67dcd20b,24,0x18
12,0x0005d20c,0x67dcd20c,1,0x01
13,0x0005d20d,0x67dcd20d,0,0x00
14,0x0005d20e,0x67dcd20e,0,0x00
15,0x0005d20f,0x67dcd20f,32,0x20
16,0x0005d210,0x67dcd210,0,0x00
17,0x0005d211,0x67dcd211,0,0x00
18,0x0005d212,0x67dcd212,0,0x00
19,0x0005d213,0x67dcd213,32,0x20
20,0x0005d214,0x67dcd214,4,0x04
21,0x0005d215,0x67dcd215,4,0x04
22,0x0005d216,0x67dcd216,3,0x03
23,0x0005d217,0x67dcd217,2,0x02
24,0x0005d218,0x67dcd218,4,0x04
25,0x0005d219,0x67dcd219,3,0x03
26,0x0005d21a,0x67dcd21a,3,0x03
27,0x0005d21b,0x67dcd21b,2,0x02
28,0x0005d21c,0x67dcd21c,3,0x03
29,0x0005d21d,0x67dcd21d,3,0x03
30,0x0005d21e,0x67dcd21e,2,0x02
31,0x0005d21f,0x67dcd21f,2,0x02
32,0x0005d220,0x67dcd220,3,0x03
33,0x0005d221,0x67dcd221,2,0x02
34,0x0005d222,0x67dcd222,2,0x02
35,0x0005d223,0x67dcd223,1,0x01
