byte_index,file_offset_hex,vma_hex,value_signed,value_hex
0,0x0005d224,0x67dcd224,2,0x02
1,0x0005d225,0x67dcd225,1,0x01
2,0x0005d226,0x67dcd226,0,0x00
3,0x0005d227,0x67dcd227,-1,0xff
4,0x0005d228,0x67dcd228,1,0x01
5,0x0005d229,0x67dcd229,0,0x00
6,0x0005d22a,0x67dcd22a,-1,0xff
7,0x0005d22b,0x67dcd22b,-1,0xff
8,0x0005d22c,0x67dcd22c,1,0x01
9,0x0005d22d,0x67dcd22d,0,0x00
10,0x0005d22e,0x67dcd22e,-1,0xff
11,0x0005d22f,0x67dcd22f,-2,0xfe
12,0x0005d230,0x67dcd230,0,0x00
13,0x0005d231,0x67dcd231,-1,0xff
14,0x0005d232,0x67dcd232,-2,0xfe
15,0x0005d233,0x67dcd233,-3,0xfd
16,0x0005d234,0x67dcd234,2,0x02
17,0x0005d235,0x67dcd235,2,0x02
18,0x0005d236,0x67dcd236,1,0x01
19,0x0005d237,0x67dcd237,0,0x00
20,0x0005d238,0x67dcd238,2,0x02
21,0x0005d239,0x67dcd239,1,0x01
22,0x0005d23a,0x67dcd23a,0,0x00
23,0x0005d23b,0x67dcd23b,0,0x00
24,0x0005d23c,0x67dcd23c,1,0x01
25,0x0005d23d,0x67dcd23d,0,0x00
26,0x0005d23e,0x67dcd23e,0,0x00
27,0x0005d23f,0x67dcd23f,-1,0xff
28,0x0005d240,0x67dcd240,0,0x00
29,0x0005d241,0x67dcd241,0,0x00
30,0x0005d242,0x67dcd242,-1,0xff
31,0x0005d243,0x67dcd243,-2,0xfe
32,0x0005d244,0x67dcd244,-1,0xff
33,0x0005d245,0x67dcd245,-1,0xff
34,0x0005d246,0x67dcd246,-2,0xfe
35,0x0005d247,0x67dcd247,-3,0xfd
36,0x0005d248,0x67dcd248,-1,0xff
37,0x0005d249,0x67dcd249,-2,0xfe
38,0x0005d24a,0x67dcd24a,-3,0xfd
39,0x0005d24b,0x67dcd24b,-4,0xfc
40,0x0005d24c,0x67dcd24c,-2,0xfe
41,0x0005d24d,0x67dcd24d,-3,0xfd
42,0x0005d24e,0x67dcd24e,-4,0xfc
43,0x0005d24f,0x67dcd24f,-4,0xfc
44,0x0005d250,0x67dcd250,-2,0xfe
45,0x0005d251,0x67dcd251,-3,0xfd
46,0x0005d252,0x67dcd252,-4,0xfc
47,0x0005d253,0x67dcd253,-4,0xfc
48,0x0005d254,0x67dcd254,2,0x02
49,0x0005d255,0x67dcd255,3,0x03
50,0x0005d256,0x67dcd256,3,0x03
51,0x0005d257,0x67dcd257,3,0x03
52,0x0005d258,0x67dcd258,2,0x02
53,0x0005d259,0x67dcd259,2,0x02
54,0x0005d25a,0x67dcd25a,2,0x02
55,0x0005d25b,0x67dcd25b,2,0x02
56,0x0005d25c,0x67dcd25c,1,0x01
57,0x0005d25d,0x67dcd25d,2,0x02
58,0x0005d25e,0x67dcd25e,2,0x02
59,0x0005d25f,0x67dcd25f,2,0x02
60,0x0005d260,0x67dcd260,0,0x00
61,0x0005d261,0x67dcd261,1,0x01
62,0x0005d262,0x67dcd262,1,0x01
63,0x0005d263,0x67dcd263,1,0x01
64,0x0005d264,0x67dcd264,3,0x03
65,0x0005d265,0x67dcd265,3,0x03
66,0x0005d266,0x67dcd266,3,0x03
67,0x0005d267,0x67dcd267,3,0x03
68,0x0005d268,0x67dcd268,2,0x02
69,0x0005d269,0x67dcd269,2,0x02
70,0x0005d26a,0x67dcd26a,3,0x03
71,0x0005d26b,0x67dcd26b,3,0x03
72,0x0005d26c,0x67dcd26c,2,0x02
73,0x0005d26d,0x67dcd26d,2,0x02
74,0x0005d26e,0x67dcd26e,2,0x02
75,0x0005d26f,0x67dcd26f,2,0x02
76,0x0005d270,0x67dcd270,1,0x01
77,0x0005d271,0x67dcd271,1,0x01
78,0x0005d272,0x67dcd272,1,0x01
79,0x0005d273,0x67dcd273,1,0x01
80,0x0005d274,0x67dcd274,-1,0xff
81,0x0005d275,0x67dcd275,0,0x00
82,0x0005d276,0x67dcd276,0,0x00
83,0x0005d277,0x67dcd277,0,0x00
84,0x0005d278,0x67dcd278,-2,0xfe
85,0x0005d279,0x67dcd279,-2,0xfe
86,0x0005d27a,0x67dcd27a,-1,0xff
87,0x0005d27b,0x67dcd27b,-1,0xff
88,0x0005d27c,0x67dcd27c,-3,0xfd
89,0x0005d27d,0x67dcd27d,-3,0xfd
90,0x0005d27e,0x67dcd27e,-3,0xfd
91,0x0005d27f,0x67dcd27f,-3,0xfd
92,0x0005d280,0x67dcd280,-5,0xfb
93,0x0005d281,0x67dcd281,-4,0xfc
94,0x0005d282,0x67dcd282,-4,0xfc
95,0x0005d283,0x67dcd283,-4,0xfc
96,0x0005d284,0x67dcd284,0,0x00
97,0x0005d285,0x67dcd285,0,0x00
98,0x0005d286,0x67dcd286,1,0x01
99,0x0005d287,0x67dcd287,1,0x01
100,0x0005d288,0x67dcd288,-1,0xff
101,0x0005d289,0x67dcd289,-1,0xff
102,0x0005d28a,0x67dcd28a,-1,0xff
103,0x0005d28b,0x67dcd28b,-1,0xff
104,0x0005d28c,0x67dcd28c,-3,0xfd
105,0x0005d28d,0x67dcd28d,-3,0xfd
106,0x0005d28e,0x67dcd28e,-2,0xfe
107,0x0005d28f,0x67dcd28f,-2,0xfe
108,0x0005d290,0x67dcd290,-4,0xfc
109,0x0005d291,0x67dcd291,-4,0xfc
110,0x0005d292,0x67dcd292,-4,0xfc
111,0x0005d293,0x67dcd293,-3,0xfd
112,0x0005d294,0x67dcd294,-4,0xfc
113,0x0005d295,0x67dcd295,-2,0xfe
114,0x0005d296,0x67dcd296,-1,0xff
115,0x0005d297,0x67dcd297,0,0x00
116,0x0005d298,0x67dcd298,-4,0xfc
117,0x0005d299,0x67dcd299,-2,0xfe
118,0x0005d29a,0x67dcd29a,-1,0xff
119,0x0005d29b,0x67dcd29b,0,0x00
120,0x0005d29c,0x67dcd29c,-4,0xfc
121,0x0005d29d,0x67dcd29d,-3,0xfd
122,0x0005d29e,0x67dcd29e,-1,0xff
123,0x0005d29f,0x67dcd29f,0,0x00
124,0x0005d2a0,0x67dcd2a0,-4,0xfc
