byte_index,file_offset_hex,vma_hex,value_signed,value_hex
0,0x00062c00,0x67dd2c00,-30,0xe2
1,0x00062c01,0x67dd2c01,2,0x02
2,0x00062c02,0x67dd2c02,2,0x02
3,0x00062c03,0x67dd2c03,2,0x02
4,0x00062c04,0x67dd2c04,-34,0xde
5,0x00062c05,0x67dd2c05,1,0x01
6,0x00062c06,0x67dd2c06,9,0x09
7,0x00062c07,0x67dd2c07,2,0x02
8,0x00062c08,0x67dd2c08,5,0x05
9,0x00062c09,0x67dd2c09,8,0x08
10,0x00062c0a,0x67dd2c0a,8,0x08
11,0x00062c0b,0x67dd2c0b,2,0x02
12,0x00062c0c,0x67dd2c0c,7,0x07
13,0x00062c0d,0x67dd2c0d,2,0x02
14,0x00062c0e,0x67dd2c0e,6,0x06
15,0x00062c0f,0x67dd2c0f,6,0x06
16,0x00062c10,0x67dd2c10,2,0x02
17,0x00062c11,0x67dd2c11,-27,0xe5
18,0x00062c12,0x67dd2c12,1,0x01
19,0x00062c13,0x67dd2c13,4,0x04
