byte_index,file_offset_hex,vma_hex,value_unsigned,value_hex
0,0x0005c1c4,0x67dcc1c4,128,0x80
1,0x0005c1c5,0x67dcc1c5,64,0x40
2,0x0005c1c6,0x67dcc1c6,32,0x20
3,0x0005c1c7,0x67dcc1c7,16,0x10
4,0x0005c1c8,0x67dcc1c8,8,0x08
5,0x0005c1c9,0x67dcc1c9,4,0x04
6,0x0005c1ca,0x67dcc1ca,2,0x02
7,0x0005c1cb,0x67dcc1cb,1,0x01
8,0x0005c1cc,0x67dcc1cc,127,0x7f
9,0x0005c1cd,0x67dcc1cd,191,0xbf
10,0x0005c1ce,0x67dcc1ce,223,0xdf
11,0x0005c1cf,0x67dcc1cf,239,0xef
12,0x0005c1d0,0x67dcc1d0,247,0xf7
13,0x0005c1d1,0x67dcc1d1,251,0xfb
14,0x0005c1d2,0x67dcc1d2,253,0xfd
15,0x0005c1d3,0x67dcc1d3,254,0xfe
