word_index,file_offset_hex,vma_hex,value_u16,value_hex
0,0x00059d00,0x67dc9d00,0,0x0000
1,0x00059d02,0x67dc9d02,0,0x0000
2,0x00059d04,0x67dc9d04,0,0x0000
3,0x00059d06,0x67dc9d06,0,0x0000
4,0x00059d08,0x67dc9d08,32,0x0020
5,0x00059d0a,0x67dc9d0a,32,0x0020
6,0x00059d0c,0x67dc9d0c,32,0x0020
7,0x00059d0e,0x67dc9d0e,32,0x0020
8,0x00059d10,0x67dc9d10,32,0x0020
9,0x00059d12,0x67dc9d12,32,0x0020
10,0x00059d14,0x67dc9d14,32,0x0020
11,0x00059d16,0x67dc9d16,32,0x0020
12,0x00059d18,0x67dc9d18,32,0x0020
13,0x00059d1a,0x67dc9d1a,40,0x0028
14,0x00059d1c,0x67dc9d1c,40,0x0028
15,0x00059d1e,0x67dc9d1e,40,0x0028
16,0x00059d20,0x67dc9d20,40,0x0028
17,0x00059d22,0x67dc9d22,40,0x0028
18,0x00059d24,0x67dc9d24,32,0x0020
19,0x00059d26,0x67dc9d26,32,0x0020
20,0x00059d28,0x67dc9d28,32,0x0020
21,0x00059d2a,0x67dc9d2a,32,0x0020
22,0x00059d2c,0x67dc9d2c,32,0x0020
23,0x00059d2e,0x67dc9d2e,32,0x0020
24,0x00059d30,0x67dc9d30,32,0x0020
25,0x00059d32,0x67dc9d32,32,0x0020
26,0x00059d34,0x67dc9d34,32,0x0020
27,0x00059d36,0x67dc9d36,32,0x0020
28,0x00059d38,0x67dc9d38,32,0x0020
29,0x00059d3a,0x67dc9d3a,32,0x0020
30,0x00059d3c,0x67dc9d3c,32,0x0020
31,0x00059d3e,0x67dc9d3e,32,0x0020
32,0x00059d40,0x67dc9d40,32,0x0020
33,0x00059d42,0x67dc9d42,32,0x0020
34,0x00059d44,0x67dc9d44,32,0x0020
35,0x00059d46,0x67dc9d46,32,0x0020
36,0x00059d48,0x67dc9d48,72,0x0048
37,0x00059d4a,0x67dc9d4a,16,0x0010
38,0x00059d4c,0x67dc9d4c,16,0x0010
39,0x00059d4e,0x67dc9d4e,16,0x0010
40,0x00059d50,0x67dc9d50,16,0x0010
41,0x00059d52,0x67dc9d52,16,0x0010
42,0x00059d54,0x67dc9d54,16,0x0010
43,0x00059d56,0x67dc9d56,16,0x0010
44,0x00059d58,0x67dc9d58,16,0x0010
45,0x00059d5a,0x67dc9d5a,16,0x0010
46,0x00059d5c,0x67dc9d5c,16,0x0010
47,0x00059d5e,0x67dc9d5e,16,0x0010
48,0x00059d60,0x67dc9d60,16,0x0010
49,0x00059d62,0x67dc9d62,16,0x0010
