index,file_offset_hex,vma_hex,raw_hex,value_u16,pad_byte,length_byte,code_length,value_dec
HDR,0x0005c304,0x67dcc304,0002000000ffffff,512,,,,alphabet=512 min=0xffffff00
0,0x0005c30c,0x67dcc30c,5a0000b0,90,0x00,0xb0,22,90
1,0x0005c310,0x67dcc310,d40000b0,212,0x00,0xb0,22,212
2,0x0005c314,0x67dcc314,d50000b0,213,0x00,0xb0,22,213
3,0x0005c318,0x67dcc318,d60000b0,214,0x00,0xb0,22,214
4,0x0005c31c,0x67dcc31c,d70000b0,215,0x00,0xb0,22,215
5,0x0005c320,0x67dcc320,d80000b0,216,0x00,0xb0,22,216
6,0x0005c324,0x67dcc324,d90000b0,217,0x00,0xb0,22,217
7,0x0005c328,0x67dcc328,da0000b0,218,0x00,0xb0,22,218
8,0x0005c32c,0x67dcc32c,db0000b0,219,0x00,0xb0,22,219
9,0x0005c330,0x67dcc330,dc0000b0,220,0x00,0xb0,22,220
10,0x0005c334,0x67dcc334,dd0000b0,221,0x00,0xb0,22,221
11,0x0005c338,0x67dcc338,de0000b0,222,0x00,0xb0,22,222
12,0x0005c33c,0x67dcc33c,df0000b0,223,0x00,0xb0,22,223
13,0x0005c340,0x67dcc340,e00000b0,224,0x00,0xb0,22,224
14,0x0005c344,0x67dcc344,e10000b0,225,0x00,0xb0,22,225
15,0x0005c348,0x67dcc348,e20000b0,226,0x00,0xb0,22,226
16,0x0005c34c,0x67dcc34c,e30000b0,227,0x00,0xb0,22,227
17,0x0005c350,0x67dcc350,e40000b0,228,0x00,0xb0,22,228
18,0x0005c354,0x67dcc354,e50000b0,229,0x00,0xb0,22,229
19,0x0005c358,0x67dcc358,e60000b0,230,0x00,0xb0,22,230
20,0x0005c35c,0x67dcc35c,e80000b0,232,0x00,0xb0,22,232
21,0x0005c360,0x67dcc360,cb0000b0,203,0x00,0xb0,22,203
22,0x0005c364,0x67dcc364,e90000b0,233,0x00,0xb0,22,233
23,0x0005c368,0x67dcc368,ea0000b0,234,0x00,0xb0,22,234
24,0x0005c36c,0x67dcc36c,e70000b0,231,0x00,0xb0,22,231
25,0x0005c370,0x67dcc370,ec0000b0,236,0x00,0xb0,22,236
26,0x0005c374,0x67dcc374,ed0000b0,237,0x00,0xb0,22,237
27,0x0005c378,0x67dcc378,ee0000b0,238,0x00,0xb0,22,238
28,0x0005c37c,0x67dcc37c,ef0000b0,239,0x00,0xb0,22,239
